goodreads_book_id,tag_id,count
25,30574,816
25,15048,603
25,21773,540
25,19733,354
25,10891,154
25,21689,144
25,4605,138
25,22743,115
25,19742,107
25,31155,94
25,8717,91
25,3389,86
25,12680,81
25,2271,73
25,15067,67
25,3392,66
25,31186,64
25,7725,58
25,3611,56
25,18045,51
25,31656,51
25,9221,49
25,3371,48
25,14552,45
25,4949,43
25,5858,42
25,10197,37
25,4615,35
25,27669,32
25,8683,31
25,11743,29
25,22753,29
25,1642,28
25,10210,27
25,28009,26
25,31528,25
25,1416,24
25,31190,24
25,19738,22
25,15060,22
25,32865,22
25,18130,21
25,4521,21
25,3379,20
25,26816,20
25,28601,20
25,20849,19
25,10644,19
25,12940,19
25,31526,19
25,8738,19
25,2497,19
25,11557,18
25,10641,18
25,18318,18
25,12388,18
25,2450,18
25,31099,18
25,920,18
25,9306,18
25,8055,17
25,25149,17
25,3377,17
25,31162,17
25,462,17
25,30521,16
25,32586,16
25,923,16
25,9477,16
25,6524,16
25,5207,15
25,31156,15
25,4522,15
25,31187,15
25,1691,14
25,10093,14
25,17217,14
25,1669,14
25,21685,14
25,30756,13
25,4594,13
25,4587,13
25,6122,13
25,30755,12
25,19737,12
25,4611,12
25,10886,12
25,25147,11
25,2335,11
25,11503,11
25,31505,11
25,487,11
25,1668,11
25,21406,11
25,27535,10
25,25150,10
25,14764,10
25,3358,10
25,25148,10
25,21739,10
67,30574,8621
67,8717,824
67,14487,682
67,24609,310
67,11743,212
67,11557,211
67,4949,187
67,24624,168
67,1753,138
67,5207,107
67,22743,104
67,27919,98
67,14467,97
67,14552,79
67,18367,76
67,24632,76
67,18326,73
67,5051,70
67,22034,64
67,24639,61
67,24642,59
67,18045,53
67,1416,49
67,24615,49
67,4985,43
67,21989,41
67,2277,40
67,28204,39
67,24626,39
67,1659,37
67,22753,36
67,9221,35
67,24631,35
67,30672,32
67,24807,32
67,30521,30
67,8067,29
67,3677,29
67,2312,25
67,8346,25
67,20849,24
67,24638,24
67,22689,23
67,17213,23
67,8055,23
67,32586,23
67,2313,22
67,9477,21
67,9484,20
67,3392,19
67,31656,19
67,31505,19
67,31938,19
67,1761,18
67,11780,18
67,1762,18
67,18318,17
67,1642,17
67,2305,17
67,4959,17
67,28218,17
67,509,17
67,24627,17
67,15169,16
67,10197,16
67,14764,16
67,2271,16
67,12948,16
67,3676,16
67,3371,15
67,25506,15
67,4968,15
67,1750,15
67,28215,15
67,20774,13
67,7457,13
67,615,13
67,941,13
67,10210,13
67,19524,13
67,11834,13
67,3389,12
67,14539,12
67,28219,12
67,2326,12
67,21158,12
67,2104,11
67,22352,11
67,12868,11
67,23349,11
67,11798,11
67,8344,11
67,30109,11
67,28183,11
67,11505,10
67,27535,10
67,603,10
67,31557,10
67,22733,10
67,1759,10
231,30574,5250
231,11743,536
231,8717,347
231,11557,130
231,22743,58
231,5207,54
231,8067,51
231,22034,49
231,8055,43
231,7668,39
231,7852,33
231,18367,32
231,4949,30
231,18326,28
231,2277,21
231,1416,21
231,22753,19
231,9221,18
231,21989,18
231,12948,17
231,33114,16
231,3392,16
231,18045,16
231,1659,16
231,5051,15
231,3371,14
231,615,14
231,2313,14
231,9477,14
231,7673,14
231,30937,14
231,31656,12
231,3389,11
231,20849,11
231,27535,11
231,18318,11
231,20288,11
231,941,11
231,9484,11
231,617,11
231,1642,10
231,30672,10
231,8346,10
231,9886,9
231,2335,9
231,12869,9
231,25438,8
231,10644,7
231,5090,7
231,30521,7
231,1510,7
231,26636,7
231,24960,6
231,15169,6
231,11505,6
231,22689,6
231,3358,6
231,26735,6
231,3377,6
231,11978,6
231,32686,6
231,4514,6
231,23993,6
231,32989,5
231,20774,5
231,17213,5
231,5444,5
231,2271,5
231,32586,5
231,31505,5
231,4985,5
231,9638,5
231,25630,5
231,22816,5
231,15392,5
231,30768,5
231,28204,5
231,11798,5
231,27368,5
231,8069,5
231,26138,4
231,2294,4
231,2312,4
231,18990,4
231,3379,4
231,25148,4
231,25506,4
231,25822,4
231,25106,4
231,23040,4
231,31557,4
231,30766,4
231,10304,4
231,21374,4
231,8344,4
231,11776,4
231,31535,4
231,28014,4
231,20302,4
231,2162,4
250,30574,1592
250,11743,363
250,8717,236
250,7457,150
250,11557,128
250,18367,82
250,22743,67
250,240,64
250,236,52
250,5207,43
250,2277,41
250,22034,39
250,7404,34
250,14267,33
250,2313,32
250,261,31
250,22753,30
250,18045,30
